,datetime,bubble_count
0,2019-05-07 11:08:14.038001,1
1,2019-05-08 10:33:47.312000,2
2,2019-05-08 10:33:56.409000,3
3,2019-05-08 12:47:45.610000,4
4,2019-05-11 08:20:04.081999,5
5,2019-05-13 23:12:29.679000,6
6,2019-05-15 01:23:03.764999,7
7,2019-05-17 09:31:54.813000,8
8,2019-05-20 15:40:45.976000,9
9,2019-06-01 01:49:45.149000,10
10,2019-08-07 23:20:16.956000,11
11,2019-08-11 08:35:42.972000,12
12,2019-08-12 20:49:47.048000,13
13,2019-08-14 06:38:21.162001,14
14,2019-08-14 17:30:38.235001,15
15,2019-08-16 00:22:43.671999,16
16,2019-08-16 09:39:20.342999,17
17,2019-08-17 05:17:52.554000,18
18,2019-08-19 05:54:19.113001,19
19,2019-08-22 15:15:11.259001,20
20,2019-08-23 00:05:00.448000,21
21,2019-08-27 08:48:55.710000,22
22,2019-08-28 22:34:54.871000,23
23,2019-08-29 06:23:08.854001,24
24,2019-08-29 20:53:53.967001,25
25,2019-08-30 04:26:42.498000,26
26,2019-08-31 02:09:21.381999,27
27,2019-09-01 08:13:56.271000,28
28,2019-09-01 22:35:34.862000,29
29,2019-09-02 06:02:08.980000,30
30,2019-09-02 19:36:49.771000,31
31,2019-09-03 02:42:05.199000,32
32,2019-09-03 08:54:27.716000,33
33,2019-09-03 22:50:31.793000,34
34,2019-09-04 06:14:00.687000,35
35,2019-09-04 11:52:34.032000,36
36,2019-09-04 19:38:49.755000,37
37,2019-09-05 02:30:03.717000,38
38,2019-09-05 08:52:57.826000,39
39,2019-09-05 15:52:44.395000,40
40,2019-09-05 22:41:16.703000,41
41,2019-09-06 06:12:44.294999,42
42,2019-09-06 11:50:06.226999,43
43,2019-09-06 19:35:33.143999,44
44,2019-09-07 02:11:50.139000,45
45,2019-09-07 08:28:51.394000,46
46,2019-09-07 22:16:56.516000,47
47,2019-09-08 05:39:31.812000,48
48,2019-09-09 01:40:56.513000,49
49,2019-09-09 07:55:36.804000,50
50,2019-09-09 21:24:04.203000,51
51,2019-09-10 04:29:29.664000,52
52,2019-09-10 10:08:04.934000,53
53,2019-09-10 17:40:12.881000,54
54,2019-09-11 00:08:51.060001,55
55,2019-09-11 20:41:23.098001,56
56,2019-09-12 03:40:16.977001,57
57,2019-09-13 05:42:04.096000,58
58,2019-09-14 07:00:11.015000,59
59,2019-09-14 12:26:31.214000,60
60,2019-09-16 03:17:51.353999,61
61,2019-09-23 23:31:15.743000,62
62,2019-09-25 19:20:49.154001,63
63,2019-09-26 21:17:21.910999,64
64,2019-09-27 03:35:09.065000,65
65,2019-10-07 20:52:10.411000,66
66,2019-10-14 07:14:10.745000,67
67,2019-10-15 14:20:18.661001,68
68,2019-10-26 16:50:05.613000,69
69,2019-11-04 17:14:16.326000,70
70,2019-11-16 11:47:19.387000,71
71,2019-11-21 14:02:57.050999,72
72,2019-11-21 20:45:16.886999,73
73,2019-11-22 03:08:07.364000,74
74,2019-11-22 08:33:06.019000,75
75,2019-11-22 13:37:03.211000,76
76,2019-11-23 04:40:32.742000,77
77,2019-11-23 19:56:30.960000,78
78,2019-11-24 03:28:23.913000,79
79,2019-11-24 09:26:25.385000,80
80,2019-11-24 22:52:29.664000,81
81,2019-11-25 05:00:02.390000,82
82,2019-11-25 11:36:32.958000,83
83,2019-11-25 16:45:25.646000,84
84,2019-11-25 21:05:36.805000,85
85,2019-11-25 23:46:25.835000,86
86,2019-11-26 05:27:07.174999,87
87,2019-11-26 07:54:33.305999,88
88,2019-11-26 16:15:08.837999,89
89,2019-11-27 01:53:15.322000,90
90,2019-11-27 08:17:10.228000,91
91,2019-11-27 10:09:43.177000,92
92,2019-11-27 12:22:05.095000,93
93,2019-11-27 20:20:19.961000,94
94,2019-11-28 11:39:57.810000,95
95,2019-11-30 10:44:24.108001,96
96,2019-12-02 05:54:43.916001,97
97,2019-12-02 17:04:49.972001,98
98,2019-12-03 05:12:04.276000,99
99,2019-12-03 10:29:18.717000,100
100,2019-12-04 04:44:54.552000,101
101,2019-12-04 04:44:56.971000,102
102,2019-12-04 04:45:03.117000,103
103,2019-12-04 04:45:17.055000,104
104,2019-12-04 05:07:11.098000,105
105,2019-12-04 15:38:03.936000,106
106,2019-12-05 05:55:12.688999,107
107,2019-12-05 16:25:12.315999,108
108,2019-12-05 23:33:06.939999,109
109,2019-12-06 17:37:02.994000,110
110,2019-12-07 08:18:36.436000,111
111,2019-12-07 10:29:17.781000,112
112,2019-12-07 10:41:21.973000,113
113,2019-12-07 19:21:26.197000,114
114,2019-12-07 20:20:26.537000,115
115,2019-12-07 20:20:32.990000,116
116,2019-12-08 07:51:03.356000,117
117,2019-12-08 15:18:24.569000,118
118,2019-12-08 17:37:30.927000,119
119,2019-12-09 08:56:31.280000,120
120,2019-12-09 12:42:40.928000,121
121,2019-12-09 14:29:11.519000,122
122,2019-12-10 00:42:45.321000,123
123,2019-12-10 00:42:48.018000,124
124,2019-12-10 01:55:09.057000,125
125,2019-12-10 03:19:07.809000,126
126,2019-12-10 03:19:10.100000,127
127,2019-12-10 03:19:15.999000,128
128,2019-12-10 17:39:23.418000,129
129,2019-12-10 18:03:26.535000,130
130,2019-12-11 01:11:54.916001,131
131,2019-12-11 05:21:57.057001,132
132,2019-12-11 06:46:43.650001,133
133,2019-12-11 06:47:16.420001,134
134,2019-12-11 09:29:43.466001,135
135,2019-12-11 18:47:08.678001,136
136,2019-12-11 18:47:21.931001,137
137,2019-12-12 02:28:48.673000,138
138,2019-12-12 02:30:45.028000,139
139,2019-12-12 10:29:58.961000,140
140,2019-12-12 23:42:51.900000,141
141,2019-12-13 05:56:31.998999,142
142,2019-12-13 10:25:01.328999,143
143,2019-12-13 23:49:12.530999,144
144,2019-12-13 23:50:30.298999,145
145,2019-12-14 12:02:24.364000,146
146,2019-12-14 13:49:42.755000,147
147,2019-12-14 14:47:31.516000,148
148,2019-12-14 22:25:38.284000,149
149,2019-12-15 05:12:04.360001,150
150,2019-12-15 09:11:49.964001,151
151,2019-12-15 10:32:49.121001,152
152,2019-12-15 16:17:26.148001,153
153,2019-12-15 16:51:35.689001,154
154,2019-12-15 21:57:46.694001,155
155,2019-12-15 22:46:15.328001,156
156,2019-12-16 06:57:14.101000,157
157,2019-12-16 08:15:56.165000,158
158,2019-12-16 08:22:53.349000,159
159,2019-12-16 08:22:59.001000,160
160,2019-12-16 22:14:08.211000,161
161,2019-12-17 00:38:17.595000,162
162,2019-12-17 00:47:35.293000,163
163,2019-12-17 02:41:59.597000,164
164,2019-12-17 08:49:27.474000,165
165,2019-12-17 10:11:21.224000,166
166,2019-12-17 12:34:07.256000,167
167,2019-12-17 16:28:51.277000,168
168,2019-12-17 18:37:20.537000,169
169,2019-12-17 18:44:44.629000,170
170,2019-12-17 18:50:05.929000,171
171,2019-12-17 18:56:48.983000,172
172,2019-12-17 18:56:50.609000,173
173,2019-12-17 18:56:57.773000,174
174,2019-12-17 18:56:59.320000,175
175,2019-12-17 21:38:40.520000,176
176,2019-12-18 03:16:55.617001,177
177,2019-12-18 04:05:31.521001,178
178,2019-12-18 06:37:31.805001,179
179,2019-12-18 08:09:43.173001,180
180,2019-12-18 08:09:49.630001,181
181,2019-12-18 09:12:48.860001,182
182,2019-12-18 16:28:32.222001,183
183,2019-12-18 21:52:50.167001,184
184,2019-12-18 21:52:51.948001,185
185,2019-12-18 21:59:50.640001,186
186,2019-12-18 22:49:45.977001,187
187,2019-12-19 02:17:46.291001,188
188,2019-12-19 03:49:23.254001,189
189,2019-12-19 06:31:30.321001,190
190,2019-12-19 06:43:47.685001,191
191,2019-12-19 06:48:30.491001,192
192,2019-12-19 10:17:53.032001,193
193,2019-12-19 11:18:13.328001,194
194,2019-12-19 11:18:15.501001,195
195,2019-12-19 11:18:16.713001,196
196,2019-12-19 11:18:18.983001,197
197,2019-12-19 11:18:20.766001,198
198,2019-12-19 11:18:21.950001,199
199,2019-12-19 11:18:23.074001,200
200,2019-12-19 11:18:24.417001,201
201,2019-12-19 11:18:25.969001,202
202,2019-12-19 11:18:27.302001,203
203,2019-12-19 11:18:28.487001,204
204,2019-12-19 11:18:30.881001,205
205,2019-12-19 11:18:32.112001,206
206,2019-12-19 11:18:33.347001,207
207,2019-12-19 11:18:36.177001,208
208,2019-12-19 11:18:39.569001,209
209,2019-12-19 11:18:43.558001,210
210,2019-12-19 11:18:53.397001,211
211,2019-12-19 11:19:05.371001,212
212,2019-12-19 11:19:19.340001,213
213,2019-12-19 11:19:39.858001,214
214,2019-12-19 11:20:51.062001,215
215,2019-12-19 13:55:56.860001,216
216,2019-12-19 14:59:08.289001,217
217,2019-12-19 15:03:11.251001,218
218,2019-12-19 15:17:08.651001,219
219,2019-12-19 15:31:48.343001,220
220,2019-12-19 19:00:07.530001,221
221,2019-12-19 21:49:57.953001,222
222,2019-12-20 00:38:01.415000,223
223,2019-12-20 05:57:06.348000,224
224,2019-12-20 06:23:42.847000,225
225,2019-12-20 07:39:33.354000,226
226,2019-12-20 13:16:20.215000,227
227,2019-12-20 17:32:54.518000,228
228,2019-12-20 17:46:25.242000,229
229,2019-12-20 19:26:56.327000,230
230,2019-12-20 23:07:26.607000,231
231,2019-12-21 01:51:33.433000,232
232,2019-12-21 04:51:47.823000,233
233,2019-12-21 05:32:47.790000,234
234,2019-12-21 06:46:06.790000,235
235,2019-12-21 12:25:29.964000,236
236,2019-12-21 12:40:37.624000,237
237,2019-12-21 16:56:58.537000,238
238,2019-12-21 19:13:54.637000,239
239,2019-12-21 19:36:18.225000,240
240,2019-12-21 21:50:43.138000,241
241,2019-12-21 22:19:37.384000,242
242,2019-12-21 23:23:16.549000,243
243,2019-12-21 23:47:45.175000,244
244,2019-12-21 23:47:48.636000,245
245,2019-12-21 23:47:54.026000,246
246,2019-12-21 23:48:40.397000,247
247,2019-12-22 03:58:24.854000,248
248,2019-12-22 06:15:28.414000,249
249,2019-12-22 06:41:01.620000,250
250,2019-12-22 08:00:01.916000,251
251,2019-12-22 08:55:02.666000,252
252,2019-12-22 09:01:09.634000,253
253,2019-12-22 09:38:19.482000,254
254,2019-12-22 09:38:25.379000,255
255,2019-12-22 09:38:43.187000,256
256,2019-12-22 14:37:50.744000,257
257,2019-12-22 14:50:40.809000,258
258,2019-12-22 16:17:48.978000,259
259,2019-12-22 16:59:19.091000,260
260,2019-12-22 18:16:09.346000,261
261,2019-12-22 18:24:34.392000,262
262,2019-12-22 18:29:08.867000,263
263,2019-12-22 19:45:06.172000,264
264,2019-12-22 21:28:49.685000,265
265,2019-12-22 23:36:44.955000,266
266,2019-12-23 00:47:00.999000,267
267,2019-12-23 00:47:02.322000,268
268,2019-12-23 01:55:56.736000,269
269,2019-12-23 02:34:14.171000,270
270,2019-12-23 03:07:15.416000,271
271,2019-12-23 04:27:24.674000,272
272,2019-12-23 05:58:16.375000,273
273,2019-12-23 07:12:29.564000,274
274,2019-12-23 08:41:30.978000,275
275,2019-12-23 10:14:39.086000,276
276,2019-12-23 10:14:44.913000,277
277,2019-12-23 10:16:27.859000,278
278,2019-12-23 11:14:45.251000,279
279,2019-12-23 12:04:23.899000,280
280,2019-12-23 13:45:07.779000,281
281,2019-12-23 13:45:15.120000,282
282,2019-12-23 13:45:22.569000,283
283,2019-12-23 13:45:30.492000,284
284,2019-12-23 13:45:35.188000,285
285,2019-12-23 14:41:14.231000,286
286,2019-12-23 14:50:59.797000,287
287,2019-12-23 15:07:43.023000,288
288,2019-12-23 15:24:26.797000,289
289,2019-12-23 16:50:36.769000,290
290,2019-12-23 17:10:04.015000,291
291,2019-12-23 18:45:45.047000,292
292,2019-12-23 21:25:49.370000,293
293,2019-12-23 21:31:12.731000,294
294,2019-12-23 22:26:31.048000,295
295,2019-12-24 00:16:37.532000,296
296,2019-12-24 00:51:55.483000,297
297,2019-12-24 01:31:58.464000,298
298,2019-12-24 02:40:34.179000,299
299,2019-12-24 03:14:43.008000,300
300,2019-12-24 03:31:03.238000,301
301,2019-12-24 05:57:58.159000,302
302,2019-12-24 08:09:38.657000,303
303,2019-12-24 08:13:10.577000,304
304,2019-12-24 08:14:45.582000,305
305,2019-12-24 08:18:09.923000,306
306,2019-12-24 12:11:57.585000,307
307,2019-12-24 12:28:39.156000,308
308,2019-12-24 13:16:17.376000,309
309,2019-12-24 15:24:35.479000,310
310,2019-12-24 15:28:55.225000,311
311,2019-12-24 18:03:04.831000,312
312,2019-12-24 18:33:32.645000,313
313,2019-12-24 18:41:25.861000,314
314,2019-12-24 19:37:00.569000,315
315,2019-12-24 21:16:50.291000,316
316,2019-12-24 21:19:03.819000,317
317,2019-12-24 21:41:09.790000,318
318,2019-12-24 23:07:10.193000,319
319,2019-12-24 23:38:08.033000,320
320,2019-12-25 00:47:28.930001,321
321,2019-12-25 03:43:27.220001,322
322,2019-12-25 03:59:40.956001,323
323,2019-12-25 06:37:16.478001,324
324,2019-12-25 07:00:10.661001,325
325,2019-12-25 07:13:55.047001,326
326,2019-12-25 08:00:51.806001,327
327,2019-12-25 08:36:55.503001,328
328,2019-12-25 10:51:12.568001,329
329,2019-12-25 13:05:54.466001,330
330,2019-12-25 13:28:27.452001,331
331,2019-12-25 16:42:05.327001,332
332,2019-12-25 17:15:13.790001,333
333,2019-12-25 18:33:28.237001,334
334,2019-12-25 19:35:45.356001,335
335,2019-12-25 21:05:59.219001,336
336,2019-12-25 22:16:35.240001,337
337,2019-12-25 22:16:40.976001,338
338,2019-12-25 22:16:55.541001,339
339,2019-12-25 22:17:21.988001,340
340,2019-12-25 22:30:48.119001,341
341,2019-12-25 22:55:16.817001,342
342,2019-12-25 23:18:52.997001,343
343,2019-12-25 23:22:14.161001,344
344,2019-12-26 00:43:36.973000,345
345,2019-12-26 04:19:50.843000,346
346,2019-12-26 07:41:06.444000,347
347,2019-12-26 07:41:44.331000,348
348,2019-12-26 07:52:07.654000,349
349,2019-12-26 07:56:32.980000,350
350,2019-12-26 07:56:37.198000,351
351,2019-12-26 07:56:39.990000,352
352,2019-12-26 07:56:43.132000,353
353,2019-12-26 07:57:17.896000,354
354,2019-12-26 08:04:59.163000,355
355,2019-12-26 08:27:17.141000,356
356,2019-12-26 08:35:59.443000,357
357,2019-12-26 09:00:00.448000,358
358,2019-12-26 09:13:25.470000,359
359,2019-12-26 09:44:44.963000,360
360,2019-12-26 10:06:46.979000,361
361,2019-12-26 11:25:34.659000,362
362,2019-12-26 11:30:13.549000,363
363,2019-12-26 12:27:12.559000,364
364,2019-12-26 12:50:09.192000,365
365,2019-12-26 12:58:22.402000,366
366,2019-12-26 14:01:25.129000,367
367,2019-12-26 14:49:29.018000,368
368,2019-12-26 15:38:22.220000,369
369,2019-12-26 16:43:21.934000,370
370,2019-12-26 17:48:58.151000,371
371,2019-12-26 18:25:54.729000,372
372,2019-12-26 18:28:16.069000,373
373,2019-12-26 18:30:24.080000,374
374,2019-12-26 18:33:45.660000,375
375,2019-12-26 19:08:00.064000,376
376,2019-12-26 20:24:37.324000,377
377,2019-12-26 22:12:16.095000,378
378,2019-12-26 23:16:33.454000,379
379,2019-12-27 00:02:11.743000,380
380,2019-12-27 00:36:11.459000,381
381,2019-12-27 02:06:58.858000,382
382,2019-12-27 03:05:19.632000,383
383,2019-12-27 04:05:33.378000,384
384,2019-12-27 04:08:52.979000,385
385,2019-12-27 04:22:37.427000,386
386,2019-12-27 06:29:18.032000,387
387,2019-12-27 06:38:09.937000,388
388,2019-12-27 06:45:39.984000,389
389,2019-12-27 08:09:12.969000,390
390,2019-12-27 08:39:40.958000,391
391,2019-12-27 09:46:52.315000,392
392,2019-12-27 11:40:11.662000,393
393,2019-12-27 13:08:22.490000,394
394,2019-12-27 13:48:02.099000,395
395,2019-12-27 13:53:32.513000,396
396,2019-12-27 15:51:26.461000,397
397,2019-12-27 16:14:29.549000,398
398,2019-12-27 16:37:39.434000,399
399,2019-12-27 18:08:07.412000,400
400,2019-12-27 18:29:32.655000,401
401,2019-12-27 18:48:33.009000,402
402,2019-12-27 18:55:31.690000,403
403,2019-12-27 18:55:34.858000,404
404,2019-12-27 20:38:52.026000,405
405,2019-12-27 20:40:28.682000,406
406,2019-12-27 22:41:10.308000,407
407,2019-12-27 22:43:22.024000,408
408,2019-12-28 00:07:31.858000,409
409,2019-12-28 00:20:09.313000,410
410,2019-12-28 00:55:43.275000,411
411,2019-12-28 01:08:52.122000,412
412,2019-12-28 03:15:37.549000,413
413,2019-12-28 03:19:05.240000,414
414,2019-12-28 04:09:21.804000,415
415,2019-12-28 04:09:54.567000,416
416,2019-12-28 05:49:30.653000,417
417,2019-12-28 06:52:10.642000,418
418,2019-12-28 07:24:01.064000,419
419,2019-12-28 07:44:51.780000,420
420,2019-12-28 07:59:55.997000,421
421,2019-12-28 07:59:57.696000,422
422,2019-12-28 09:29:12.066000,423
423,2019-12-28 09:34:46.213000,424
424,2019-12-28 09:35:03.096000,425
425,2019-12-28 09:35:08.847000,426
426,2019-12-28 09:35:39.925000,427
427,2019-12-28 09:36:34.334000,428
428,2019-12-28 10:39:58.290000,429
429,2019-12-28 11:03:02.684000,430
430,2019-12-28 11:20:34.994000,431
431,2019-12-28 11:35:26.295000,432
432,2019-12-28 12:51:27.701000,433
433,2019-12-28 13:59:43.993000,434
434,2019-12-28 16:15:08.372000,435
435,2019-12-28 16:30:19.925000,436
436,2019-12-28 17:50:30.325000,437
437,2019-12-28 18:35:08.350000,438
438,2019-12-28 18:47:14.065000,439
439,2019-12-28 18:47:44.149000,440
440,2019-12-28 20:28:04.184000,441
441,2019-12-28 20:47:05.293000,442
442,2019-12-28 21:51:08.086000,443
443,2019-12-28 22:34:14.368000,444
444,2019-12-28 22:37:11.562000,445
445,2019-12-28 22:56:16.904000,446
446,2019-12-29 01:08:50.977000,447
447,2019-12-29 01:21:20.428000,448
448,2019-12-29 03:42:08.026000,449
449,2019-12-29 03:47:59.427000,450
450,2019-12-29 05:24:10.319000,451
451,2019-12-29 05:32:20.697000,452
452,2019-12-29 06:03:14.587000,453
453,2019-12-29 06:25:26.129000,454
454,2019-12-29 07:58:47.059000,455
455,2019-12-29 08:35:06.402000,456
456,2019-12-29 11:56:05.993000,457
457,2019-12-29 12:07:25.507000,458
458,2019-12-29 12:17:40.051000,459
459,2019-12-29 13:19:39.942000,460
460,2019-12-29 14:29:35.351000,461
461,2019-12-29 15:33:09.960000,462
462,2019-12-29 15:33:16.619000,463
463,2019-12-29 15:33:22.465000,464
464,2019-12-29 16:55:30.217000,465
465,2019-12-29 18:07:40.400000,466
466,2019-12-29 18:09:09.891000,467
467,2019-12-29 18:34:24.473000,468
468,2019-12-29 19:08:59.841000,469
469,2019-12-29 21:15:21.731000,470
470,2019-12-29 23:08:55.775000,471
